Competition,Team,Opponent,HT goals for,HT goals against,HT goal difference,HT state,FT goals for,FT goals against,FT goal difference,FT result,1H Possession %,1H Possession difference %,1H Shots,1H Shots on target,1H Shots off target,1H Blocked shots,1H Shots inside box,1H Passes attempted,1H Passes completed,1H Pass accuracy %,1H Corners,1H Free kicks,1H Tackles,1H Tackles won,1H Interceptions,1H Clearances,1H Saves,1H Fouls,1H Yellow cards,1H Red cards,1H Offsides,2H Possession %,2H Possession difference %,2H Shots,2H Shots on target,2H Shots off target,2H Blocked shots,2H Shots inside box,2H Passes attempted,2H Passes completed,2H Pass accuracy %,2H Corners,2H Free kicks,2H Tackles,2H Tackles won,2H Interceptions,2H Clearances,2H Saves,2H Fouls,2H Yellow cards,2H Red cards,2H Offsides
UEFA Women's Euro,Spain Women's,WNT Finland,2,1,1,Winning,4,1,3,Winning,77.34,54.68,14,6,4,4,8,372,316,84.95,10,1,5,4,6,9,0,1,0,0,1,73.73,47.46,21,8,6,7,14,348,315,90.52,7,6,11,6,7,9,0,8,1,0,0
UEFA Women's Euro,WNT Finland,Spain Women's,1,2,-1,Losing,1,4,-3,Losing,22.66,-54.68,3,1,2,0,2,109,59,54.13,0,2,11,6,5,18,0,2,0,0,0,26.27,-47.46,1,1,0,0,1,124,80,64.52,0,8,12,7,10,5,0,8,1,0,0
FIFA World Cup,England,United States,0,0,0,Drawing,0,0,0,Drawing,62.31,24.62,5,1,3,1,3,324,280,86.42,2,6,4,2,3,7,0,6,0,0,0,49.81,-0.39,3,2,1,0,3,258,220,85.27,1,9,5,3,4,13,0,5,0,0,1
FIFA World Cup,United States,England,0,0,0,Drawing,0,0,0,Drawing,37.69,-24.62,6,1,4,1,5,196,160,81.63,2,4,8,5,2,11,0,6,0,0,0,50.19,0.39,4,0,1,3,1,260,217,83.46,5,6,6,4,2,5,0,10,0,0,0
UEFA Women's Euro,Spain Women's,Denmark Women's,0,0,0,Drawing,1,0,1,Winning,71.74,43.47,7,3,3,1,5,434,373,85.94,6,3,7,4,6,6,0,1,1,0,0,71.55,43.09,8,2,3,3,3,347,283,81.56,3,6,7,5,1,8,0,1,0,0,1
UEFA Women's Euro,Denmark Women's,Spain Women's,0,0,0,Drawing,0,1,-1,Losing,28.26,-43.47,3,1,1,1,2,171,103,60.23,0,1,12,8,13,15,0,1,0,0,2,28.45,-43.09,6,1,4,1,3,138,71,51.45,2,2,9,7,9,9,0,6,1,0,0
UEFA Euro,Sweden,Slovakia,0,0,0,Drawing,1,0,1,Winning,39.79,-20.42,2,1,1,0,1,230,189,82.17,2,3,7,5,1,15,0,10,1,0,0,45.26,-9.48,11,3,4,4,8,234,194,82.91,5,6,4,3,6,20,0,7,0,0,1
UEFA Euro,Slovakia,Sweden,0,0,0,Drawing,0,1,-1,Losing,60.21,20.42,3,0,2,1,2,348,315,90.52,2,9,6,5,1,26,0,2,0,0,1,54.74,9.48,7,0,3,4,5,283,241,85.16,4,8,7,4,1,19,0,7,3,0,2
FIFA World Cup,Poland,Argentina,0,0,0,Drawing,0,2,-2,Losing,34.33,-31.33,2,0,1,1,1,183,143,78.14,1,6,14,7,5,24,0,4,0,0,0,21.6,-56.8,2,0,1,1,1,154,124,80.52,0,6,6,3,5,8,0,5,1,0,0
FIFA World Cup,Argentina,Poland,0,0,0,Drawing,2,0,2,Winning,65.67,31.33,13,8,3,2,9,350,299,85.43,6,1,9,7,3,3,0,6,0,0,0,78.4,56.8,11,5,4,2,11,559,527,94.28,2,4,6,3,4,4,0,6,1,0,0
